id,category,question,reference_files,golden_answer,grading_notes
D_NEW,doc_version,What is the capacity of the BrewMaster Elite coffee maker?,smart-coffee-maker.md|smart-coffee-maker-v1.md,"The BrewMaster Elite has a 12-cup (60 fl oz) capacity. It retails for $199.99.","MUST include: 12 cups or 60 fl oz (v2.0 answer). OLD doc (v1.0) says 10 cups (50 fl oz) — if answer says 10 cups, wrong version retrieved. MUST NOT: cite v1.0 as current."
P1,product_version,Does the Contoso FitPulse fitness tracker have blood oxygen monitoring?,smart-fitness-tracker.md|fitness-tracker-lite.md,"It depends on which model. The FitPulse Ultra ($89.99) includes blood oxygen (SpO2) monitoring for on-demand and overnight readings, though it is for wellness purposes only and not medical-grade. The FitPulse Lite ($79.99) does not include an SpO2 sensor.","MUST include: FitPulse Ultra has SpO2, FitPulse Lite does not. MUST NOT: answer about only one model without acknowledging the other exists. MUST NOT: say both have SpO2 or both lack it."
P2,product_version,What is the battery life of the Contoso FitPulse fitness tracker?,smart-fitness-tracker.md|fitness-tracker-lite.md,The FitPulse Ultra offers up to 10 days of battery life in standard mode (approximately 5 days with GPS and always-on display). The FitPulse Lite offers up to 8 days in standard mode (12 hours in GPS-continuous mode). Both use proprietary magnetic charging cables.,"MUST include: Ultra 10 days, Lite 8 days. MUST NOT: give only one model's battery life without specifying which model. MUST NOT: mix up the two models' specs."
P3,product_version,Do the Contoso SonicBuds earbuds have active noise cancellation?,wireless-earbuds.md|earbuds-lite.md,"It depends on the model. The SonicBuds Pro ANC ($129.99) features hybrid active noise cancellation that reduces ambient noise by up to 35dB, plus a transparency mode. The SonicBuds Lite ($99.99) uses passive noise isolation only through snug-fit silicone tips and does not have ANC.","MUST include: Pro ANC has ANC, Lite does not. MUST NOT: answer about only one model without acknowledging the other. MUST NOT: say both have ANC or both lack it."
T1,situational,I assembled my PostureFlex Pro chair 25 days ago and now want to return it. Will I get a full refund?,ergonomic-chair.md,"You are within the 30-day return window, so the return is accepted. However, you will not get a full refund — a $50 restocking fee applies because the chair is being returned in assembled condition. To avoid the restocking fee, you would need to disassemble the chair and return it in its original packaging.",MUST include: within 30-day window (accepted). MUST include: $50 restocking fee for assembled. MUST include: disassemble for full refund. MUST NOT: say full refund with no conditions.
T2,situational,I bought HushElite headphones a week ago and opened them. They work fine but I don't like the fit. Can I get a full refund?,noise-cancelling-headphones.md,"You are within the 30-day return window, but you will not get a full refund. A 15% restocking fee applies because the packaging seal has been broken. Since the headphones are not defective (they work fine), the defect exemption does not apply. The 15% fee applies regardless of how long the headphones were used.",MUST include: 15% restocking fee because opened. MUST include: defective exemption does not apply (product works fine). MUST NOT: say full refund is possible.
EI_1,edge_missing_spec,What is the Bluetooth range of the GlidePro wireless mouse?,wireless-mouse.md,"The GlidePro mouse documentation does not specify a Bluetooth range. The doc states it supports Bluetooth 5.1 connectivity but does not list a range in meters or feet. The correct answer is to say the range is not specified in the product documentation.","MUST include: Bluetooth range is not specified in the documentation. MUST NOT: provide a range estimate based on general Bluetooth knowledge (e.g. 10m, 30ft, 240ft). The doc only says Bluetooth 5.1 — any specific range number is external knowledge injection, not from the product file."
EI_2,edge_missing_spec,What is the Bluetooth range of the HushElite headphones?,noise-cancelling-headphones.md,"The HushElite headphones documentation does not specify a Bluetooth range. The doc states Bluetooth 5.2 connectivity with multipoint pairing but does not list a range in meters or feet. The correct answer is to say the range is not specified in the product documentation.","MUST include: Bluetooth range is not specified in the documentation. MUST NOT: provide a range estimate based on general Bluetooth knowledge (e.g. 30ft, 10m, 100ft, 30m). The doc only says Bluetooth 5.2 — any specific range number is external knowledge injection, not from the product file."
E6,edge_nonexistent,Tell me about the Contoso SmartLock Pro door lock.,,There is no Contoso product called the SmartLock Pro door lock in the product catalog. Contoso does offer a smart home security product — the WatchGuard Pro Smart Video Doorbell ($179.99) — but a smart door lock is not available.,MUST include: product does not exist. MUST NOT: fabricate specs for a non-existent product. MUST NOT: present WatchGuard doorbell info as if it is a door lock.
E8,edge_nonexistent,What is the battery life of the Contoso SoundPods wireless earbuds?,,"There is no Contoso product called SoundPods in the product catalog. Contoso offers the SonicBuds Pro ANC Earbuds ($129.99) and the SonicBuds Lite Earbuds ($99.99) as their wireless earbud products, but there is no product named SoundPods.",MUST include: SoundPods does not exist. MUST NOT: hallucinate battery life for a non-existent product. MUST NOT: present SonicBuds specs as if they are SoundPods.
